Camera Anchor,PositionX,PositionY,PositionZ,RotationY,KeyObject1,KeyObject2,KeyObject3,Description
1-0,-3.47,1.2,0,0,instructionsPaper,Wand,GhostToy,A bookshelf filled with various books and a clock is the backdrop for a mysterious adventure. A wand and a creepy-looking ghost toy are the central objects of interest; hinting at supernatural elements in the story. The ghost toy is placed on the shelf; while the wand rests nearby; suggesting that the user might be on a quest to unravel the secrets of the haunted clock and the ghostly presence.
1-1,-3.47,1.2,0,45,instructionsPaper,Chest,GhostToy,A green ghost is standing in a room with a chest and a bottle. The ghost appears to be peeking out from behind a door; adding a spooky element to the setting. The room seems to be designed for adventure; as the chest and bottle may contain clues or items to help navigate through the space. The overall atmosphere evokes a sense of mystery and intrigue; inviting the viewer to explore and uncover the secrets within this immersive digital environment.
1-2,-3.47,1.2,0,90,instructionsPaper,Chest,GhostToy,A creepy-looking room is filled with various objects. There is a chest and a ghost toy; both of which seem to be emitting a strange aura. Additionally; an instructions paper can be found; likely providing guidance for navigating the peculiar space. The room appears to be designed for an adventure game; with its eerie atmosphere and intriguing objects; inviting players to explore and uncover its secrets.
1-3,-3.47,1.2,0,135,instructionsPaper,KeyForDesk,Painting1,You find yourself standing inside a room with a wooden desk. On the desk; there is a computer monitor; a key for the desk; and a painting. The room also features a shelf with various items; including a book and a bottle. The overall setting has a creepy vibe; as if it were a scene from an adventure novel.
1-4,-3.47,1.2,0,180,instructionsPaper,Painting1,Painting2,A green monster is seen hanging on the wall next to a picture. The image also features a pair of pictures on the wall; and a paper with instructions pasted to the wall. The setting appears to be in a room with a cozy atmosphere; where the green monster seems to be enjoying itself.
1-5,-3.47,1.2,0,225,instructionsPaper,Painting2,Pumpking1,A chair is positioned next to a dining table with a bottle on it. Above the table; there is a Painting hanging on the wall; while a Pumpking rests nearby. An open InstructionsPaper can be found on the table; possibly providing guidance for the viewer on how to navigate the space or complete a task. The room has a wooden floor; and the overall atmosphere evokes a sense of adventure and exploration.
1-6,-3.47,1.2,0,270,instructionsPaper,Cauldron,Stove,A green monster is standing in a room with a wooden floor; holding a large needle. The room features a bookshelf filled with books; a cauldron; and a stove. The atmosphere suggests a strange and mysterious adventure; with the monster possibly being a character in a video game or animated movie.
1-7,-3.47,1.2,0,315,instructionsPaper,Cauldron,Wand,A fireplace sits in the corner of a room with a cauldron placed on top of it. A wand is also present in the scene; adding a mystical touch to the setting. The room appears to be designed for relaxation and comfort; with a cozy atmosphere perfect for enjoying a warm fire on a cold day.
2-0,-4.86,1.18,0.63,0,WindowFrame,,,A WindowFrame is set against a backdrop of a building. A small light source can be seen through the window; illuminating the space and creating a sense of adventure and curiosity.
2-1,-4.86,1.18,0.63,45,PotionBottle,GhostToy,FirePlace,A PotionBottle sits on a shelf next to a FirePlace; creating a cozy atmosphere. A small GhostToy can also be seen; adding a mysterious touch to the setting. The image has a surreal and whimsical quality; as if the viewer has stepped into a magical world.
2-2,-4.86,1.18,0.63,90,PotionBottle,GhostToy,HouseInterior,A creepy-looking room with a checkered floor and a low ceiling is filled with various objects. A PotionBottle can be seen on a shelf; while a GhostToy is placed nearby. The room also features a HouseInterior with a chair and a book; creating an eerie atmosphere. This setting could be part of a haunted house or a mysterious adventure game.
2-3,-4.86,1.18,0.63,135,instructionsPaper,Painting1,HouseInterior,You are inside a room with a wooden floor and a wall adorned with a Painting. There is an InstructionsPaper on display; and the HouseInterior can be seen in the background. The room is illuminated by a glowing green light; creating a mysterious atmosphere.
2-4,-4.86,1.18,0.63,180,instructionsPaper,Painting2,Stove,There is a kitchen counter with a Pumpkin sitting on it. An InstructionsPaper is also present; likely providing guidance for a recipe or cooking instructions. Above the counter; a Painting hangs on the wall; adding a touch of artistic flair to the space. A stove can be seen in the background; indicating that this is indeed a kitchen setup. This scene could be part of an adventure game
2-5,-4.86,1.18,0.63,225,Stove,Bookshelf,WindowFrame,A kitchen features a large stove; with a bookshelf nearby. The space also includes several windows that provide ample light. A variety of fruits; such as bananas; apples; and oranges; are scattered throughout the room; adding a touch of color and vibrancy to the environment.
2-6,-4.86,1.18,0.63,270,Cauldron,Bookshelf,InstructionsPaper,A cauldron is placed on a bookshelf filled with various books. An instructionsPaper is also visible; likely providing guidance for using the cauldron. The setting appears to be in a room; possibly a workshop or a wizard's lair; where potions and spells are concocted and studied.
2-7,-4.86,1.18,0.63,315,Cauldron,Window,InstructionsPaper,A large pot is sitting on a stove; with a brewing button in front of it. A window is present in the background; allowing natural light to illuminate the space.
4-0,-5.6,1.3,-0.5,0,Cauldron,Window,BrewingButton,A large metal cauldron sits on a stove; with a window nearby. A brewing button is in front of the cauldron; suggesting that the area might be related to alchemy or potion-making.
